Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
AADAT,Q8N5Z0,-1.67,2.91E-07,3.86E-06,TRUE,TRUE,FALSE,0
AASS,Q9UDR5,-1.56,2.00E-08,4.63E-07,TRUE,TRUE,FALSE,0
ABAT,P80404,-2.26,1.23E-09,5.49E-08,TRUE,TRUE,FALSE,0
ABCA8,O94911,-0.818,0.000146,0.000658,TRUE,TRUE,TRUE,8
ABCB1,P08183,-1.42,1.33E-05,8.71E-05,TRUE,TRUE,FALSE,0
ABCB8,Q9NUT2,-0.834,2.37E-07,3.28E-06,TRUE,TRUE,FALSE,0
ABCC2,Q92887,-1.11,6.22E-05,0.000318,TRUE,TRUE,FALSE,0
ABCC3,O15438,1.2,3.84E-07,4.83E-06,TRUE,TRUE,FALSE,0
ABCC6,O95255,-1.09,2.09E-05,0.000127,TRUE,TRUE,FALSE,0
ABCD3,P28288,-1.05,2.15E-06,1.89E-05,TRUE,TRUE,FALSE,0
ABCG1,P45844,1.5,2.85E-08,6.05E-07,TRUE,TRUE,FALSE,0
ABHD10,Q9NUJ1,-1.09,4.45E-09,1.45E-07,TRUE,TRUE,FALSE,0
ABHD15,Q6UXT9,-1.91,0.00189,0.00588,TRUE,TRUE,TRUE,16
ABHD17C,Q6PCB6,-1.87,2.36E-07,3.28E-06,TRUE,TRUE,TRUE,16
ABHD18,Q0P651,-0.754,0.000675,0.00245,TRUE,TRUE,TRUE,16
ABHD6,Q9BV23,-0.78,2.63E-05,0.000155,TRUE,TRUE,FALSE,0
ABI3,Q9P2A4,0.834,9.02E-06,6.28E-05,TRUE,TRUE,FALSE,0
ABLIM2,Q6H8Q1,-0.919,1.17E-05,7.81E-05,TRUE,TRUE,FALSE,0
ABLIM3,O94929,0.739,0.000548,0.00204,TRUE,TRUE,FALSE,0
ABT1,Q9ULW3,0.725,2.34E-08,5.18E-07,TRUE,TRUE,FALSE,0
ACAA1,P09110,-1.5,2.36E-08,5.22E-07,TRUE,TRUE,FALSE,0
ACAA2,P42765,-0.739,0.000131,6.00E-04,TRUE,TRUE,FALSE,0
ACAD10,Q6JQN1,-1.26,7.55E-10,3.89E-08,TRUE,TRUE,FALSE,0
ACAD8,Q9UKU7,-1.45,2.31E-11,4.30E-09,TRUE,TRUE,FALSE,0
ACADL,P28330,-0.831,0.00163,0.00517,TRUE,TRUE,FALSE,0
ACADM,P11310,-1.49,2.16E-08,4.89E-07,TRUE,TRUE,FALSE,0
ACADSB,P45954,-1.5,7.36E-08,1.28E-06,TRUE,TRUE,FALSE,0
ACAT1,P24752,-1.23,2.66E-10,1.90E-08,TRUE,TRUE,FALSE,0
ACCS,Q96QU6,-1.43,0.000142,0.000644,TRUE,TRUE,TRUE,16
ACE,P12821,-1.24,4.85E-05,0.000258,TRUE,TRUE,FALSE,0
ACLY,P53396,1.06,7.97E-06,5.64E-05,TRUE,TRUE,FALSE,0
ACMSD,Q8TDX5,-1.35,4.27E-05,0.000232,TRUE,TRUE,FALSE,0
ACO1,P21399,-1.22,3.75E-07,4.75E-06,TRUE,TRUE,FALSE,0
ACO2,Q99798,-0.861,7.44E-08,1.30E-06,TRUE,TRUE,FALSE,0
ACOT11,Q8WXI4,-1.14,3.67E-10,2.36E-08,TRUE,TRUE,FALSE,0
ACOT13,Q9NPJ3,-1.11,6.27E-07,7.09E-06,TRUE,TRUE,FALSE,0
ACOT2,P49753,-1.09,1.53E-07,2.27E-06,TRUE,TRUE,FALSE,0
ACOT4,Q8N9L9,-0.705,0.00385,0.0108,TRUE,TRUE,FALSE,0
ACOX1,Q15067,-1.49,3.25E-07,4.23E-06,TRUE,TRUE,FALSE,0
ACOX2,Q99424,-1.61,2.56E-07,3.50E-06,TRUE,TRUE,FALSE,0
ACP3,P15309,-1.51,1.04E-08,2.83E-07,TRUE,TRUE,FALSE,0
ACP6,Q9NPH0,-1.12,1.71E-08,4.11E-07,TRUE,TRUE,FALSE,0
ACSF2,Q96CM8,-2.24,4.42E-09,1.44E-07,TRUE,TRUE,FALSE,0
ACSF3,Q4G176,-0.982,5.13E-09,1.62E-07,TRUE,TRUE,FALSE,0
ACSL1,P33121,-1,3.95E-08,7.78E-07,TRUE,TRUE,FALSE,0
ACSM2A,Q08AH3,-1.7,2.90E-07,3.86E-06,TRUE,TRUE,FALSE,0
ACSM2B,Q68CK6,-1.73,1.99E-07,2.84E-06,TRUE,TRUE,FALSE,0
ACSM3,Q53FZ2,-2.05,1.94E-10,1.51E-08,TRUE,TRUE,FALSE,0
ACSM4,P0C7M7,-2.54,3.02E-11,5.04E-09,TRUE,TRUE,FALSE,0
ACSS1,Q9NUB1,-0.931,1.35E-09,5.82E-08,TRUE,TRUE,FALSE,0
ACSS3,Q9H6R3,-0.955,1.07E-07,1.71E-06,TRUE,TRUE,FALSE,0
ACTR3B,Q9P1U1,-0.755,1.37E-05,8.92E-05,TRUE,TRUE,FALSE,0
ACY1,Q03154,-1.88,1.59E-09,6.59E-08,TRUE,TRUE,FALSE,0
ACY3,Q96HD9,-1.03,3.26E-07,4.23E-06,TRUE,TRUE,FALSE,0
ACYP1,P07311,0.73,3.37E-05,0.000191,TRUE,TRUE,FALSE,0
ADA,P00813,1.17,2.54E-05,0.000151,TRUE,TRUE,FALSE,0
ADA2,Q9NZK5,1.22,0.000129,0.000592,TRUE,TRUE,FALSE,0
ADAMTS2,O95450,-1.51,0.00322,0.00929,TRUE,TRUE,TRUE,16
ADAMTS7,Q9UKP4,1.89,6.75E-05,0.00034,TRUE,TRUE,FALSE,0
ADAMTSL2,Q86TH1,-1.07,0.000218,0.000927,TRUE,TRUE,FALSE,0
ADAMTSL5,Q6ZMM2,-1.43,9.71E-12,2.86E-09,TRUE,TRUE,FALSE,0
ADAP2,Q9NPF8,0.908,6.84E-06,4.98E-05,TRUE,TRUE,FALSE,0
ADCK1,Q86TW2,-0.743,4.31E-09,1.42E-07,TRUE,TRUE,FALSE,0
ADCY9,O60503,-0.756,0.000183,8.00E-04,TRUE,TRUE,FALSE,0
ADD2,P35612,0.857,0.00646,0.0169,TRUE,TRUE,FALSE,0
ADD3,Q9UEY8,-0.756,1.78E-07,2.56E-06,TRUE,TRUE,FALSE,0
ADGRE2,Q9UHX3,1.05,2.23E-05,0.000134,TRUE,TRUE,FALSE,0
ADGRF1,Q5T601,-1.04,7.56E-08,1.31E-06,TRUE,TRUE,FALSE,0
ADH1A,P07327,-0.997,7.55E-05,0.000376,TRUE,TRUE,FALSE,0
ADH1B,P00325,-2.28,5.06E-13,6.75E-10,TRUE,TRUE,FALSE,0
ADH1C,P00326,-1.93,1.25E-09,5.50E-08,TRUE,TRUE,FALSE,0
ADH6,P28332,-2.07,2.61E-08,5.67E-07,TRUE,TRUE,FALSE,0
ADHFE1,Q8IWW8,-1.56,8.28E-09,2.38E-07,TRUE,TRUE,FALSE,0
ADIPOQ,Q15848,0.711,0.00364,0.0103,TRUE,TRUE,FALSE,0
ADRA2A,P08913,-1.03,0.00637,0.0167,TRUE,TRUE,TRUE,8
ADSS1,Q8N142,1.01,0.00626,0.0165,TRUE,TRUE,FALSE,0
AFAP1L1,Q8TED9,0.907,5.28E-06,4.02E-05,TRUE,TRUE,FALSE,0
AFG1L,Q8WV93,-1.19,1.29E-10,1.16E-08,TRUE,TRUE,FALSE,0
AFMID,Q63HM1,-1.23,1.43E-06,1.37E-05,TRUE,TRUE,FALSE,0
AGMAT,Q9BSE5,-1.78,3.47E-09,1.21E-07,TRUE,TRUE,FALSE,0
AGPAT3,Q9NRZ7,-1.11,0.000172,0.000759,TRUE,TRUE,FALSE,0
AGR2,O95994,-1.26,4.80E-07,5.66E-06,TRUE,TRUE,FALSE,0
AGXT,P21549,-1.59,4.78E-06,3.70E-05,TRUE,TRUE,FALSE,0
AGXT2,Q9BYV1,-1.67,6.27E-07,7.09E-06,TRUE,TRUE,FALSE,0
AHCY,P23526,-0.725,5.87E-06,4.38E-05,TRUE,TRUE,FALSE,0
AHNAK,Q09666,0.7,1.80E-06,1.65E-05,TRUE,TRUE,FALSE,0
AHNAK2,Q8IVF2,2.33,4.89E-09,1.56E-07,TRUE,TRUE,FALSE,0
AHR,P35869,1.03,2.86E-07,3.81E-06,TRUE,TRUE,FALSE,0
AIF1L,Q9BQI0,-1.72,4.03E-10,2.50E-08,TRUE,TRUE,FALSE,0
AIFM1,O95831,-1.23,1.69E-08,4.06E-07,TRUE,TRUE,FALSE,0
AK2,P54819,-0.76,1.02E-06,1.04E-05,TRUE,TRUE,FALSE,0
AK3,Q9UIJ7,-1.33,2.08E-11,4.12E-09,TRUE,TRUE,FALSE,0
AK4,P27144,-1.36,8.91E-07,9.29E-06,TRUE,TRUE,FALSE,0
AK7,Q96M32,2.75,0.000982,0.00336,TRUE,TRUE,TRUE,16
AKR1A1,P14550,-0.755,5.08E-05,0.000267,TRUE,TRUE,FALSE,0
AKR7A3,O95154,-1.32,2.47E-08,5.40E-07,TRUE,TRUE,FALSE,0
ALAD,P13716,-0.769,0.000477,0.00181,TRUE,TRUE,FALSE,0
ALDH1A2,O94788,-0.883,0.000155,0.000697,TRUE,TRUE,FALSE,0
ALDH1B1,P30837,-1.52,6.75E-07,7.48E-06,TRUE,TRUE,FALSE,0
ALDH1L1,O75891,-1.12,0.000263,0.00109,TRUE,TRUE,FALSE,0
ALDH2,P05091,-1.33,1.30E-07,1.99E-06,TRUE,TRUE,FALSE,0
ALDH3A2,P51648,-0.788,0.00145,0.00467,TRUE,TRUE,FALSE,0
ALDH4A1,P30038,-1.81,2.56E-07,3.50E-06,TRUE,TRUE,FALSE,0
ALDH5A1,P51649,-1.42,2.02E-09,8.05E-08,TRUE,TRUE,FALSE,0
ALDH6A1,Q02252,-1.91,8.08E-10,4.06E-08,TRUE,TRUE,FALSE,0
ALDH7A1,P49419,-1.1,2.89E-06,2.43E-05,TRUE,TRUE,FALSE,0
ALDH8A1,Q9H2A2,-1.66,9.98E-07,1.03E-05,TRUE,TRUE,FALSE,0
ALDOA,P00883,1.04,8.45E-08,1.43E-06,TRUE,TRUE,FALSE,0
ALDOB,P05062,-2.11,2.49E-07,3.42E-06,TRUE,TRUE,FALSE,0
ALDOC,P09972,1.28,9.52E-09,2.65E-07,TRUE,TRUE,FALSE,0
ALG3,Q92685,-0.731,0.0233,0.0494,TRUE,TRUE,TRUE,8
ALKBH7,Q9BT30,-0.805,1.92E-05,0.000118,TRUE,TRUE,FALSE,0
ALOX5,P09917,1.45,2.32E-06,2.01E-05,TRUE,TRUE,FALSE,0
ALOX5AP,P20292,1.07,0.000399,0.00155,TRUE,TRUE,FALSE,0
AMACR,Q9UHK6,-0.983,2.99E-05,0.000172,TRUE,TRUE,FALSE,0
AMBP,P02760,-0.784,8.09E-05,0.000398,TRUE,TRUE,FALSE,0
AMDHD1,Q96NU7,-0.81,0.00171,0.00539,TRUE,TRUE,FALSE,0
AMN,Q9BXJ7,-0.801,0.000384,0.0015,TRUE,TRUE,FALSE,0
AMPD2,Q01433,0.751,9.86E-06,6.75E-05,TRUE,TRUE,FALSE,0
AMPD3,Q01432,0.743,0.000162,0.000722,TRUE,TRUE,FALSE,0
AMT,P48728,-1.73,2.45E-11,4.35E-09,TRUE,TRUE,FALSE,0
ANG,P03950,-0.756,5.75E-06,4.32E-05,TRUE,TRUE,FALSE,0
ANGPT2,O15123,1.33,2.00E-04,0.000861,TRUE,TRUE,FALSE,0
ANGPTL2,Q9UKU9,0.821,0.00518,0.014,TRUE,TRUE,FALSE,0
ANGPTL3,Q9Y5C1,-1.03,0.0123,0.0288,TRUE,TRUE,FALSE,0
ANGPTL4,Q9BY76,1.75,1.49E-05,9.52E-05,TRUE,TRUE,FALSE,0
ANK1,P16157,1.09,0.0113,0.0269,TRUE,TRUE,FALSE,0
ANK2,Q01484,-1.57,2.16E-10,1.64E-08,TRUE,TRUE,FALSE,0
ANK3,Q12955,-1.12,3.70E-08,7.43E-07,TRUE,TRUE,FALSE,0
ANKRD2,Q9GZV1,-1.13,0.00288,0.00844,TRUE,TRUE,FALSE,0
ANKRD6,Q9Y2G4,-0.858,0.0138,0.0318,TRUE,TRUE,TRUE,8
ANKS4B,Q8N8V4,-0.989,6.64E-05,0.000335,TRUE,TRUE,FALSE,0
ANO8,Q9HCE9,-0.758,0.00442,0.0122,TRUE,TRUE,TRUE,16
ANPEP,P15144,-1.83,7.69E-08,1.33E-06,TRUE,TRUE,FALSE,0
ANXA1,P04083,1.16,2.03E-05,0.000124,TRUE,TRUE,FALSE,0
ANXA2,P07355,0.921,7.51E-07,8.17E-06,TRUE,TRUE,FALSE,0
ANXA3,P12429,-1.21,0.00108,0.00364,TRUE,TRUE,FALSE,0
ANXA4,P09525,1.45,1.91E-06,1.72E-05,TRUE,TRUE,FALSE,0
ANXA9,O76027,-1.62,2.41E-07,3.33E-06,TRUE,TRUE,FALSE,0
AOAH,P28039,1.15,0.000103,0.000487,TRUE,TRUE,FALSE,0
AOC1,P19801,-1.34,0.00205,0.00629,TRUE,TRUE,FALSE,0
AOC3,Q16853,-1.2,1.55E-07,2.30E-06,TRUE,TRUE,FALSE,0
AOX1,Q06278,-1.1,0.000531,0.00198,TRUE,TRUE,FALSE,0
AP1M2,Q9Y6Q5,-1.15,1.97E-07,2.81E-06,TRUE,TRUE,FALSE,0
AP3S2,P59780,-1.12,4.25E-09,1.41E-07,TRUE,TRUE,FALSE,0
APAF1,O14727,0.74,5.54E-07,6.38E-06,TRUE,TRUE,FALSE,0
APBB1IP,Q7Z5R6,1.4,1.87E-08,4.44E-07,TRUE,TRUE,FALSE,0
APOA5,Q6Q788,-1.02,0.00055,0.00204,TRUE,TRUE,FALSE,0
APOBEC3A,P31941,1.27,0.000292,0.00119,TRUE,TRUE,TRUE,8
APOBEC3C,Q9NRW3,1.26,2.42E-05,0.000145,TRUE,TRUE,FALSE,0
APOBEC3G,Q9HC16,0.829,1.71E-05,0.000108,TRUE,TRUE,FALSE,0
APOBR,Q0VD83,1.63,3.44E-07,4.41E-06,TRUE,TRUE,FALSE,0
APOL2,Q9BQE5,0.928,0.00426,0.0118,TRUE,TRUE,FALSE,0
APOL3,O95236,0.939,1.74E-05,0.000108,TRUE,TRUE,FALSE,0
APOO,Q9BUR5,-1.32,1.49E-10,1.25E-08,TRUE,TRUE,FALSE,0
AQP1,P29972,-1.38,5.95E-06,4.43E-05,TRUE,TRUE,FALSE,0
AQP2,P41181,-1.45,0.000111,0.000519,TRUE,TRUE,TRUE,8
ARG1,P05089,0.928,0.00647,0.0169,TRUE,TRUE,FALSE,0
ARHGAP15,Q53QZ3,0.884,4.00E-04,0.00155,TRUE,TRUE,FALSE,0
ARHGAP22,Q7Z5H3,1.01,0.000734,0.00262,TRUE,TRUE,FALSE,0
ARHGAP24,Q8N264,-0.709,7.83E-06,5.56E-05,TRUE,TRUE,FALSE,0
ARHGAP25,P42331,1.01,5.87E-05,0.000303,TRUE,TRUE,FALSE,0
ARHGAP26,Q9UNA1,0.796,7.70E-12,2.58E-09,TRUE,TRUE,FALSE,0
ARHGAP30,Q7Z6I6,1.07,0.000176,0.000776,TRUE,TRUE,FALSE,0
ARHGAP45,Q92619,0.871,0.000199,0.000858,TRUE,TRUE,FALSE,0
ARHGAP9,Q9BRR9,0.713,0.000989,0.00338,TRUE,TRUE,FALSE,0
ARHGDIB,P52566,0.937,1.69E-05,0.000106,TRUE,TRUE,FALSE,0
ARHGEF10,O15013,0.716,5.06E-06,3.88E-05,TRUE,TRUE,FALSE,0
ARHGEF2,Q92974,0.727,5.76E-07,6.62E-06,TRUE,TRUE,FALSE,0
ARL2,P36404,-0.858,3.83E-09,1.31E-07,TRUE,TRUE,FALSE,0
ARL4C,P56559,0.908,0.00187,0.00582,TRUE,TRUE,TRUE,16
ARMC5,Q96C12,0.733,3.50E-05,0.000196,TRUE,TRUE,FALSE,0
ARMCX1,Q9P291,-1.04,4.89E-08,9.14E-07,TRUE,TRUE,FALSE,0
ARMCX2,Q7L311,-0.72,1.76E-09,7.17E-08,TRUE,TRUE,FALSE,0
ARRB2,P32121,0.73,0.000238,0.001,TRUE,TRUE,FALSE,0
ARSB,P15848,-0.759,6.44E-05,0.000326,TRUE,TRUE,FALSE,0
ARSF,P54793,-1.12,2.86E-06,2.42E-05,TRUE,TRUE,FALSE,0
ART3,Q13508,-1.23,0.000528,0.00197,TRUE,TRUE,TRUE,8
ARV1,Q9H2C2,-1.03,0.00714,0.0183,TRUE,TRUE,TRUE,8
ASB1,Q9Y576,-1.43,0.000703,0.00253,TRUE,TRUE,TRUE,16
ASB9,Q96DX5,-1.01,2.67E-07,3.61E-06,TRUE,TRUE,FALSE,0
ASNS,P08243,0.78,0.000263,0.00108,TRUE,TRUE,FALSE,0
ASPDH,A6ND91,-1.19,4.22E-08,8.06E-07,TRUE,TRUE,FALSE,0
ASPN,Q9BXN1,-0.765,0.00136,0.00443,TRUE,TRUE,FALSE,0
ASS1,P00966,-1.82,1.60E-07,2.34E-06,TRUE,TRUE,FALSE,0
ATAD1,Q8NBU5,-0.744,5.73E-08,1.05E-06,TRUE,TRUE,FALSE,0
ATAD2B,Q9ULI0,0.901,0.0122,0.0287,TRUE,TRUE,TRUE,16
ATAT1,Q5SQI0,-1.43,0.0041,0.0114,TRUE,TRUE,TRUE,8
ATP11A,P98196,0.728,0.000812,0.00287,TRUE,TRUE,FALSE,0
ATP1A1,P05023,-1.42,3.91E-08,7.75E-07,TRUE,TRUE,FALSE,0
ATP1B1,P05026,-1.73,1.95E-08,4.57E-07,TRUE,TRUE,FALSE,0
ATP1B2,P14415,-1.64,0.00252,0.00753,TRUE,TRUE,TRUE,16
ATP23,Q9Y6H3,-0.891,4.65E-07,5.53E-06,TRUE,TRUE,FALSE,0
ATP5F1A,P25705,-0.933,1.59E-10,1.30E-08,TRUE,TRUE,FALSE,0
ATP5F1B,P06576,-0.767,5.67E-09,1.74E-07,TRUE,TRUE,FALSE,0
ATP5F1C,P36542,-1.09,3.64E-11,5.73E-09,TRUE,TRUE,FALSE,0
ATP5F1D,P30049,-1,1.03E-09,4.85E-08,TRUE,TRUE,FALSE,0
ATP5F1E,P56381,-1.15,1.05E-05,7.16E-05,TRUE,TRUE,FALSE,0
ATP5IF1,Q9UII2,-1.09,1.59E-06,1.50E-05,TRUE,TRUE,FALSE,0
ATP5MD,Q96IX5,-1.06,2.87E-07,3.82E-06,TRUE,TRUE,FALSE,0
ATP5MF,P56134,-0.828,9.83E-07,1.01E-05,TRUE,TRUE,FALSE,0
ATP5MG,O75964,-0.703,5.01E-06,3.85E-05,TRUE,TRUE,FALSE,0
ATP5MPL,P56378,-1.09,1.21E-06,1.21E-05,TRUE,TRUE,FALSE,0
ATP5PB,P24539,-0.74,2.15E-07,3.03E-06,TRUE,TRUE,FALSE,0
ATP5PD,O75947,-0.912,1.02E-07,1.63E-06,TRUE,TRUE,FALSE,0
ATP5PF,P18859,-1.13,1.41E-10,1.21E-08,TRUE,TRUE,FALSE,0
ATP5PO,P48047,-0.816,1.43E-09,6.06E-08,TRUE,TRUE,FALSE,0
ATP6V0A4,Q9HBG4,-0.734,1.39E-06,1.34E-05,TRUE,TRUE,FALSE,0
ATP6V0D1,P61421,-0.759,1.36E-05,8.83E-05,TRUE,TRUE,FALSE,0
ATP6V1A,P38606,-0.843,4.78E-07,5.64E-06,TRUE,TRUE,FALSE,0
ATP6V1B1,P15313,-0.798,2.58E-07,3.52E-06,TRUE,TRUE,FALSE,0
ATP6V1C1,P21283,-0.854,3.33E-05,0.000189,TRUE,TRUE,FALSE,0
ATP6V1C2,Q8NEY4,-1.31,5.29E-10,2.99E-08,TRUE,TRUE,FALSE,0
ATP6V1D,Q9Y5K8,-0.811,2.98E-06,2.49E-05,TRUE,TRUE,FALSE,0
ATP6V1E1,P36543,-0.917,3.99E-07,4.95E-06,TRUE,TRUE,FALSE,0
ATP6V1F,Q16864,-0.781,2.10E-06,1.85E-05,TRUE,TRUE,FALSE,0
ATP6V1G1,O75348,-1.02,1.24E-06,1.23E-05,TRUE,TRUE,FALSE,0
ATP6V1G2,O95670,-1.54,1.23E-05,8.18E-05,TRUE,TRUE,FALSE,0
ATP6V1G3,Q96LB4,-1.93,6.65E-11,7.88E-09,TRUE,TRUE,FALSE,0
ATP6V1H,Q9UI12,-1.08,4.58E-08,8.62E-07,TRUE,TRUE,FALSE,0
ATP7B,P35670,-0.997,0.00129,0.00424,TRUE,TRUE,TRUE,8
ATPAF1,Q5TC12,-1.02,3.85E-10,2.44E-08,TRUE,TRUE,FALSE,0
ATPAF2,Q8N5M1,-1.09,2.03E-07,2.89E-06,TRUE,TRUE,FALSE,0
AUH,Q13825,-1.47,3.65E-11,5.73E-09,TRUE,TRUE,FALSE,0
B2M,P61769,0.733,1.63E-05,0.000104,TRUE,TRUE,FALSE,0
B3GALNT1,O75752,0.836,0.00347,0.00989,TRUE,TRUE,TRUE,16
B4GALT5,O43286,0.8,0.0134,0.031,TRUE,TRUE,FALSE,0
BAG2,O95816,-1.08,4.59E-05,0.000247,TRUE,TRUE,FALSE,0
BAIAP2,Q9UQB8,-1.44,3.81E-09,1.30E-07,TRUE,TRUE,FALSE,0
BAIAP2L2,Q6UXY1,-1.17,0.000199,0.000858,TRUE,TRUE,FALSE,0
BARGIN,Q6ZT62,0.792,0.000106,0.000503,TRUE,TRUE,FALSE,0
BAZ1A,Q9NRL2,0.902,5.45E-08,1.00E-06,TRUE,TRUE,FALSE,0
BBC3,Q9BXH1,0.926,0.0138,0.0318,TRUE,TRUE,TRUE,16
BBOX1,O75936,-1.13,0.000221,0.000938,TRUE,TRUE,FALSE,0
BCAT1,P54687,1.25,0.00136,0.00443,TRUE,TRUE,FALSE,0
BCKDHA,P12694,-0.882,1.53E-08,3.83E-07,TRUE,TRUE,FALSE,0
BCKDHB,P21953,-0.931,6.15E-09,1.85E-07,TRUE,TRUE,FALSE,0
BCL2L13,Q9BXK5,-0.729,6.01E-07,6.86E-06,TRUE,TRUE,FALSE,0
BCL9,O00512,0.81,0.000934,0.00323,TRUE,TRUE,TRUE,16
BDH1,Q02338,-1.18,8.47E-09,2.42E-07,TRUE,TRUE,FALSE,0
BDH2,Q9BUT1,-1.43,4.24E-08,8.10E-07,TRUE,TRUE,FALSE,0
BEND5,Q7L4P6,-0.787,0.0074,0.0189,TRUE,TRUE,TRUE,16
BEND7,Q8N7W2,-0.733,6.46E-05,0.000327,TRUE,TRUE,FALSE,0
BHMT,Q93088,-1.24,5.90E-05,0.000304,TRUE,TRUE,FALSE,0
BHMT2,Q9H2M3,-1.27,6.66E-05,0.000336,TRUE,TRUE,FALSE,0
BICD1,Q96G01,1.22,1.84E-08,4.38E-07,TRUE,TRUE,FALSE,0
BID,P55957,0.809,2.56E-07,3.50E-06,TRUE,TRUE,FALSE,0
BIN1,O00499,-0.8,1.69E-05,0.000107,TRUE,TRUE,FALSE,0
BIN2,Q9UBW5,1.19,1.65E-05,0.000105,TRUE,TRUE,FALSE,0
BIRC3,Q13489,1.67,0.000175,0.000773,TRUE,TRUE,TRUE,16
BLM,P54132,-1.31,0.00467,0.0127,TRUE,TRUE,TRUE,16
BMP1,P13497,1.41,0.00342,0.00975,TRUE,TRUE,TRUE,8
BPGM,P07738,0.844,0.0109,0.0262,TRUE,TRUE,FALSE,0
BPHL,Q86WA6,-1.61,1.87E-07,2.68E-06,TRUE,TRUE,FALSE,0
BRIX1,Q8TDN6,0.938,2.25E-08,5.06E-07,TRUE,TRUE,FALSE,0
BRMS1,Q9HCU9,-2.11,0.00198,0.00612,TRUE,TRUE,TRUE,16
BRWD1,Q9NSI6,0.812,0.0135,0.0312,TRUE,TRUE,TRUE,8
BSND,Q8WZ55,-1.55,7.03E-08,1.24E-06,TRUE,TRUE,FALSE,0
BSPRY,Q5W0U4,-0.99,4.08E-05,0.000223,TRUE,TRUE,FALSE,0
BST2,Q10589,0.888,8.24E-06,5.80E-05,TRUE,TRUE,FALSE,0
BTK,Q06187,0.853,0.00071,0.00256,TRUE,TRUE,FALSE,0
BTN3A1,O00481,1.21,0.000283,0.00115,TRUE,TRUE,TRUE,8
BTN3A2,P78410,0.926,0.000135,0.000614,TRUE,TRUE,FALSE,0
BTN3A3,O00478,0.776,3.42E-05,0.000193,TRUE,TRUE,FALSE,0
C11orf52,Q96A22,-1.09,2.23E-06,1.95E-05,TRUE,TRUE,FALSE,0
C11orf54,Q9H0W9,-1.24,6.67E-07,7.42E-06,TRUE,TRUE,FALSE,0
C17orf100,A8MU93,-0.939,0.00178,0.00558,TRUE,TRUE,TRUE,16
C1QBP,Q07021,-0.753,4.97E-07,5.81E-06,TRUE,TRUE,FALSE,0
C1QTNF2,Q9BXJ5,-1.59,0.00176,0.00552,TRUE,TRUE,TRUE,16
C1QTNF5,Q9BXJ0,0.863,0.000859,0.00301,TRUE,TRUE,FALSE,0
C1orf210,Q8IVY1,-1.14,0.0167,0.0373,TRUE,TRUE,TRUE,8
C1orf226,A1L170,-0.708,0.00095,0.00327,TRUE,TRUE,TRUE,8
C1orf53,Q5VUE5,-1.28,0.00166,0.00524,TRUE,TRUE,TRUE,16
C22orf39,Q6P5X5,-1.11,0.00187,0.00582,TRUE,TRUE,FALSE,0
C4orf3,Q8WVX3,1.13,1.21E-07,1.88E-06,TRUE,TRUE,FALSE,0
C6orf132,Q5T0Z8,-1.08,0.000185,0.000809,TRUE,TRUE,FALSE,0
C7,P10643,-0.853,0.00457,0.0125,TRUE,TRUE,FALSE,0
C7orf50,Q9BRJ6,0.722,9.64E-05,0.000462,TRUE,TRUE,FALSE,0
CA4,P22748,-1.98,1.06E-08,2.88E-07,TRUE,TRUE,FALSE,0
CA8,P35219,-1.1,0.000943,0.00325,TRUE,TRUE,FALSE,0
CA9,Q16790,1.95,6.93E-08,1.23E-06,TRUE,TRUE,FALSE,0
CADM4,Q8NFZ8,-1.65,3.92E-07,4.89E-06,TRUE,TRUE,FALSE,0
CALB1,P05937,-2.51,1.25E-07,1.93E-06,TRUE,TRUE,FALSE,0
CALCRL,Q16602,0.727,0.00592,0.0157,TRUE,TRUE,FALSE,0
CALML3,P27482,-0.823,0.0017,0.00535,TRUE,TRUE,FALSE,0
CALML4,Q96GE6,-1.19,0.000118,0.000549,TRUE,TRUE,FALSE,0
CALU,O43852,0.987,5.25E-06,4.00E-05,TRUE,TRUE,FALSE,0
CAMK1D,Q8IU85,0.814,1.91E-05,0.000118,TRUE,TRUE,FALSE,0
CAND2,O75155,-0.81,1.16E-08,3.10E-07,TRUE,TRUE,FALSE,0
CANX,P27824,0.82,1.41E-05,9.13E-05,TRUE,TRUE,FALSE,0
CAPG,P40121,0.726,0.00655,0.017,TRUE,TRUE,FALSE,0
CAPN5,O15484,-0.952,3.99E-07,4.95E-06,TRUE,TRUE,FALSE,0
CAPS,Q13938,-1.12,7.86E-07,8.45E-06,TRUE,TRUE,FALSE,0
CARD11,Q9BXL7,0.866,0.000115,0.000536,TRUE,TRUE,FALSE,0
CARD16,Q5EG05,1.12,3.50E-05,0.000196,TRUE,TRUE,FALSE,0
CARD8,Q9Y2G2,0.838,7.65E-06,5.47E-05,TRUE,TRUE,FALSE,0
CARS2,Q9HA77,-0.706,0.000221,0.000938,TRUE,TRUE,FALSE,0
CASP1,P29466,1.14,8.44E-08,1.43E-06,TRUE,TRUE,FALSE,0
CASP2,P42575,0.737,4.53E-07,5.43E-06,TRUE,TRUE,FALSE,0
CASP4,P49662,0.809,3.12E-06,2.59E-05,TRUE,TRUE,FALSE,0
CASP8,Q14790,0.798,1.61E-07,2.36E-06,TRUE,TRUE,FALSE,0
