Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
GLOD4,Q9HC38,-0.0939,0.294,0.392,FALSE,FALSE,FALSE,0
GLRX,P35754,-0.0665,0.672,0.745,FALSE,FALSE,FALSE,0
GLRX3,O76003,0.344,5.19E-05,0.000272,FALSE,FALSE,FALSE,0
GLS2,Q9UI32,0.0845,0.769,0.825,FALSE,FALSE,TRUE,16
GLT8D1,Q68CQ7,0.197,0.143,0.221,FALSE,FALSE,FALSE,0
GLT8D2,Q9H1C3,0.268,0.414,0.513,FALSE,FALSE,TRUE,16
GLTP,Q9NZD2,-0.583,0.00066,0.0024,FALSE,FALSE,FALSE,0
GLTPD2,A6NH11,-0.7,0.0365,0.0716,FALSE,FALSE,TRUE,16
GLUL,P15104,0.576,0.03,0.0608,FALSE,FALSE,FALSE,0
GLYR1,Q49A26,-0.128,0.231,0.323,FALSE,FALSE,FALSE,0
GMCL1,Q96IK5,0.118,0.267,0.363,FALSE,FALSE,TRUE,8
GMDS,O60547,-0.1,0.329,0.427,FALSE,FALSE,FALSE,0
GMEB1,Q9Y692,0.257,0.00519,0.014,FALSE,FALSE,FALSE,0
GMEB2,Q9UKD1,0.216,0.00223,0.00677,FALSE,FALSE,FALSE,0
GMFB,P60983,-0.00961,0.908,0.934,FALSE,FALSE,FALSE,0
GMPPA,Q96IJ6,0.124,0.283,0.38,FALSE,FALSE,FALSE,0
GMPPB,Q9Y5P6,0.00233,0.984,0.989,FALSE,FALSE,FALSE,0
GMPR,P36959,-0.37,0.109,0.176,FALSE,FALSE,FALSE,0
GMPR2,Q9P2T1,-0.244,0.0445,0.0843,FALSE,FALSE,FALSE,0
GMPS,P49915,0.0788,0.264,0.36,FALSE,FALSE,FALSE,0
GNA11,P29992,-0.419,0.000187,0.000815,FALSE,FALSE,FALSE,0
GNA12,Q03113,-0.113,0.209,0.299,FALSE,FALSE,FALSE,0
GNA13,Q14344,-0.126,0.204,0.293,FALSE,FALSE,FALSE,0
GNA14,O95837,-0.645,0.052,0.0955,FALSE,FALSE,TRUE,16
GNA15,P30679,0.00925,0.958,0.97,FALSE,FALSE,TRUE,16
GNAI1,P63096,-0.693,0.00194,0.006,FALSE,FALSE,FALSE,0
GNAI2,P04899,0.366,0.00152,0.00488,FALSE,FALSE,FALSE,0
GNAI3,P08754,0.196,0.0109,0.0262,FALSE,FALSE,FALSE,0
GNAQ,P50148,-0.136,0.138,0.214,FALSE,FALSE,FALSE,0
GNAS,Q5JWF2,-0.113,0.0997,0.164,FALSE,FALSE,FALSE,0
GNAZ,P19086,-0.197,0.279,0.375,FALSE,FALSE,TRUE,16
GNB1,P62873,-0.357,0.0124,0.0292,FALSE,FALSE,FALSE,0
GNB1L,Q9BYB4,0.218,0.021,0.0453,FALSE,FALSE,FALSE,0
GNB2,P62879,-0.0894,0.169,0.252,FALSE,FALSE,FALSE,0
GNB3,P16520,-0.0276,0.873,0.907,FALSE,FALSE,FALSE,0
GNB4,Q9HAV0,0.363,0.0252,0.0526,FALSE,FALSE,FALSE,0
GNB5,O14775,-0.404,0.0773,0.133,FALSE,FALSE,FALSE,0
GNG11,P61952,0.254,0.255,0.35,FALSE,FALSE,FALSE,0
GNG12,Q9UBI6,-0.223,0.0334,0.0665,FALSE,FALSE,FALSE,0
GNG2,P59768,0.111,0.579,0.664,FALSE,FALSE,FALSE,0
GNG5,P63218,0.446,0.00474,0.0129,FALSE,FALSE,FALSE,0
GNL1,P36915,0.0227,0.738,0.799,FALSE,FALSE,FALSE,0
GNL2,Q13823,0.661,0.000159,0.000711,FALSE,FALSE,FALSE,0
GNL3L,Q9NVN8,0.127,0.0916,0.152,FALSE,FALSE,FALSE,0
GNPAT,O15228,0.226,0.154,0.234,FALSE,FALSE,FALSE,0
GNPDA1,P46926,-0.272,0.0646,0.114,FALSE,FALSE,FALSE,0
GNPDA2,Q8TDQ7,0.327,0.0184,0.0406,FALSE,FALSE,FALSE,0
GNPNAT1,Q96EK6,-0.0255,0.731,0.794,FALSE,FALSE,FALSE,0
GNPTAB,Q3T906,0.368,0.000188,0.00082,FALSE,FALSE,FALSE,0
GNPTG,Q9UJJ9,0.323,0.0637,0.113,FALSE,FALSE,FALSE,0
GOLGA1,Q92805,0.114,0.0914,0.152,FALSE,FALSE,FALSE,0
GOLGA2,Q08379,0.0973,0.208,0.298,FALSE,FALSE,FALSE,0
GOLGA3,Q08378,0.538,1.21E-05,8.05E-05,FALSE,FALSE,FALSE,0
GOLGA4,Q13439,-0.475,8.47E-07,8.97E-06,FALSE,FALSE,FALSE,0
GOLGA5,Q8TBA6,0.224,0.0514,0.0945,FALSE,FALSE,FALSE,0
GOLGA7,Q7Z5G4,-0.0686,0.467,0.563,FALSE,FALSE,FALSE,0
GOLGB1,Q14789,-0.025,0.761,0.819,FALSE,FALSE,FALSE,0
GOLIM4,O00461,0.347,0.004,0.0112,FALSE,FALSE,FALSE,0
GOLM1,Q8NBJ4,-0.0144,0.954,0.968,FALSE,FALSE,FALSE,0
GOLM2,Q6P4E1,0.528,1.95E-05,0.00012,FALSE,FALSE,FALSE,0
GOLPH3,Q9H4A6,0.00437,0.965,0.975,FALSE,FALSE,FALSE,0
GOLPH3L,Q9H4A5,0.112,0.166,0.249,FALSE,FALSE,FALSE,0
GOLT1B,Q9Y3E0,0.575,0.000341,0.00135,FALSE,FALSE,FALSE,0
GON4L,Q3T8J9,-0.164,0.376,0.475,FALSE,FALSE,TRUE,8
GON7,Q9BXV9,-0.121,0.128,0.2,FALSE,FALSE,FALSE,0
GOPC,Q9HD26,0.267,0.00804,0.0202,FALSE,FALSE,FALSE,0
GORAB,Q5T7V8,0.272,0.0352,0.0696,FALSE,FALSE,FALSE,0
GORASP1,Q9BQQ3,-0.102,0.342,0.441,FALSE,FALSE,FALSE,0
GORASP2,Q9H8Y8,0.19,0.0622,0.111,FALSE,FALSE,FALSE,0
GOSR1,O95249,0.119,0.182,0.267,FALSE,FALSE,FALSE,0
GOSR2,O14653,-0.0676,0.507,0.6,FALSE,FALSE,FALSE,0
GOT1,P17174,-0.664,0.000351,0.00138,FALSE,FALSE,FALSE,0
GP1BA,P07359,0.152,0.619,0.7,FALSE,FALSE,FALSE,0
GP1BB,P13224,-0.0416,0.887,0.918,FALSE,FALSE,TRUE,8
GP5,P40197,0.191,0.33,0.429,FALSE,FALSE,TRUE,8
GPA33,Q99795,0.0167,0.916,0.939,FALSE,FALSE,TRUE,16
GPAA1,O43292,0.215,0.0562,0.102,FALSE,FALSE,FALSE,0
GPALPP1,Q8IXQ4,0.205,0.0325,0.065,FALSE,FALSE,FALSE,0
GPAM,Q9HCL2,-0.0809,0.512,0.606,FALSE,FALSE,FALSE,0
GPAT4,Q86UL3,0.0677,0.471,0.566,FALSE,FALSE,FALSE,0
GPATCH1,Q9BRR8,0.0692,0.481,0.577,FALSE,FALSE,FALSE,0
GPATCH11,Q8N954,0.449,3.52E-05,0.000197,FALSE,FALSE,FALSE,0
GPATCH2,Q9NW75,0.259,0.00576,0.0153,FALSE,FALSE,FALSE,0
GPATCH8,Q9UKJ3,0.259,0.00418,0.0116,FALSE,FALSE,FALSE,0
